rva	name	subsystem	arg_type	note	callees
004a4bb7	entry	boot	unknown	re/analysis/promote_c2_boot_crt/004a4bb7.md	
004a332b	FUN_004a332b	boot	unknown	re/analysis/promote_c2_boot_crt/004a332b.md	004a3258
004a334d	FUN_004a334d	boot	unknown	re/analysis/promote_c2_boot_crt/004a334d.md	004a3258
004a31b1	___crtExitProcess	boot	unknown	re/analysis/promote_c2_boot_crt/004a31b1.md	
00499ba0	sub_00499ba0	boot	unknown	re/analysis/boot_app_init/00499ba0.md	00498bc0,00498bd0,00499820,00499890,00773818,007e9580,007e9584,80000000
00499cc0	sub_00499cc0	boot	unknown	re/analysis/boot_app_init/00499cc0.md	007e9584,007e95a8
004a9410	_strlen	boot	unknown	re/analysis/boot_crt_env/004a9410.md	004a943f,004a9440,004a9442,004a9447,004a9449,004a944c,004a944e,004a9451,004a9458,7efefeff,81010100,ffffffff
004aaff0	_memcpy	boot	unknown	re/analysis/boot_crt_env/004aaff0.md	004aaff5,004aaffb,004ab004,004ab00a,004ab010,004ab018,004ab01b,004ab01e,004ab023,004ab025,004ab18c
004522d0	FUN_004522d0	audio	unknown	re/analysis/audio_rws_loader/004522d0.md	004522d6,004522da
005ab410	FUN_005ab410	audio	unknown	re/analysis/promote_c2_audio_rws/005ab410.md	005ab380
005abcf0	FUN_005abcf0	audio	unknown	re/analysis/promote_c2_audio_rws/005abcf0.md	
005abfa0	FUN_005abfa0	audio	unknown	re/analysis/promote_c2_audio_rws/005abfa0.md	
005aea00	FUN_005aea00	audio	unknown	re/analysis/audio_rws_loader/005aea00.md	005aea06,005aea0a
00499400	VideoSettingsDispatcher	save	unknown	re/analysis/promote_c2_settings_dialog/00499400.md	
00403640	FUN_00403640	boot	unknown	re/analysis/promote_c2_perm_piz_callees/00403640.md	00636b78
00404830	FUN_00404830	boot	unknown	re/analysis/promote_c2_perm_piz_callees/00404830.md	00636c08,006390b0,00639cc8,00639cd0,00639cd4,00639cf4,00639d2c,00639d30,00639d40,00639d4c,00639d50,00639d58,00639d5c,00639d60,00639d64,ffffffff
004113b0	FUN_004113b0	boot	unknown	re/analysis/promote_c2_perm_piz_callees/004113b0.md	005f29d0,00616038,007d3ff8,008a94a8,008a94ac,ffffffff
0042a6b0	FUN_0042a6b0	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x0042a6b0.md	0042a730
00411f30	FUN_00411f30	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00411f30.md	00412007,0063bb3c,0063bc34
004039c0	FUN_004039c0	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x004039c0.md	004039d6,005f99ac
00498d20	ReadModeFromCombo	save	unknown	re/analysis/promote_c2_settings_dialog/00498d20.md	
00498d60	PopulateModeCombo	save	unknown	re/analysis/promote_c2_settings_dialog/00498d60.md	
004991f0	VideoSettingsDlgProc	save	unknown	re/analysis/promote_c2_settings_dialog/004991f0.md	
00499820	sub_00499820	boot	unknown	re/analysis/window_msgpump/00499820.md	004960e0,00496470,00496490,00499824,00499827,00499829,0049982e,00499831,00499838,00499842,00499844,00499847,0049984e,00499851,0049985e,0049986d,00499870,00499875,00499877,0049987b,00499880,00499ba0,00499c21,005cc268,005cfabb,00773918,0077391c
00496470	sub_00496470	boot	unknown	re/analysis/window_msgpump/00496470.md	
004960e0	sub_004960e0	boot	unknown	re/analysis/window_msgpump/004960e0.md	
005ac210	FUN_005ac210	audio	unknown	re/analysis/promote_c2_audio_rws/005ac210.md	
005abd30	FUN_005abd30	audio	unknown	re/analysis/promote_c2_audio_rws/005abd30.md	
0042c280	FUN_0042c280	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x0042c280.md	0042c29a,ff210000
00432080	FUN_00432080	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00432080.md	00432220,007f1041,007f108d,007f10d9,007f1125,007f1171,007f11bd,007f1209,007f1255,007f1501,007f154d,007f1599,007f15e5,007f1631,007f167d,007f16c9,007f1715
004331a0	FUN_004331a0	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x004331a0.md	00433237,43520000
0042bf30	FUN_0042bf30	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x0042bf30.md	0042bfa0
0042d3a0	FUN_0042d3a0	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x0042d3a0.md	0042d3d4,0067ed78,0067f0b8
004248b0	FUN_004248b0	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x004248b0.md	0042491f,008994c0,008999a0
00411350	Replay::TimeFormat	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00411350.md	004113a6
00411530	Replay::GetTimeAtIdx	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00411530.md	00411570
00411580	Replay::GetBestTime	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00411580.md	004115b9
004115c0	Replay::GetCurrentTime	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x004115c0.md	004115f9
004114e0	Replay::Cleanup	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x004114e0.md	0041152c
00411600	Replay::RecordFrame	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00411600.md	0041174d
00411750	Replay::StartLap	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00411750.md	004117a7
004117b0	Replay::Save	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x004117b0.md	00411865
00411870	Replay::LapFinish	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00411870.md	00411ade,ffffffff
00411ae0	Ghost::PlaybackTick	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00411ae0.md	00411cd0,3f800000
00411d60	Replay::CheckTimer	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00411d60.md	00411d87
00411d90	Replay::CreateOrLoad	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00411d90.md	00411f29
00411170	TimeTrial::RecordPlayback	vehicle	unknown	re/analysis/promote_c2_vehicle_lowrva/0x00411170.md	004111b5
004099a0	Save::AutosaveTrigger	save	unknown	re/analysis/profile_career/004099a0.md	004099aa,004099b7,004099c0,004099c9,005cc7dc
005aba20	FUN_005aba20	audio	unknown	re/analysis/promote_c2_audio_rws/005aba20.md	
005acaa0	FUN_005acaa0	audio	unknown	re/analysis/promote_c2_audio_rws/005acaa0.md	
