rva	name	subsystem	arg_type	note	callees
004a4bb7	entry	boot	unknown	re/analysis/promote_c2_boot_crt/004a4bb7.md	
004a4b6e	__amsg_exit	boot	unknown	re/analysis/promote_c2_boot_crt/004a4b6e.md	004a333c,004ab8d6,004aba4d,006160c4,007739f0
004a8a04	FUN_004a8a04	boot	unknown	re/analysis/promote_c2_boot_crt/004a8a04.md	004a467e,004a774d,004a87f7,00616658,00616920
004aa3fe	__heap_init	boot	unknown	re/analysis/promote_c2_boot_crt/004aa3fe.md	004aa3e4,004aa44f
004abbea	FUN_004abbea	boot	unknown	re/analysis/promote_c2_boot_crt/004abbea.md	004abc49,004af2b6,004affe0,005cc4dc
004ac04a	FUN_004ac04a	boot	unknown	re/analysis/promote_c2_boot_crt/004ac04a.md	004a45fb,004ae29f
004a2c2f	FUN_004a2c2f	boot	unknown	re/analysis/promote_c2_boot_crt/004a2c2f.md	004a2bf7,004a5de3,004a5e35,00773994
004a333c	__exit	boot	unknown	re/analysis/boot_crt_exit/0x004a333c.md	004a3258,004a334b
004a40fe	___onexitinit	boot	unknown	re/analysis/boot_crt_exit/0x004a40fe.md	004a4124,004a45fb
004a415e	_atexit	boot	unknown	re/analysis/boot_crt_exit/0x004a415e.md	004a4126
00402750	sub_00402750	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x00402750.md	004025f0,004026d0,00402f50,00403640,00404830,0040bb30,0040bb50,0040bbb0,004113b0,004114c0,00412890,00418980,0041a060,0041a1e0,0041b450,0041bec0,0041c100,0041cb10,0041d6e0,0041d8b0,0041db90,0041def0,0041eaa0,00420d00,00425bc0,004274d0,004274e0,004275d0,00427ca0,00428390,004283a0,00429290,00431b40,0045b350,0045bae0,004669b0,004671a0,00471df0,004723d0,0047ba00,00484170,004841d0,004881d0,00494c80,00495280,004952f0,00495350,004963e0,00496e40,00498bc0,00498bd0,00499ce0,004b3d80,004b6610,004b6640,004c2ed0,004c2f00,004caea0,004d8560,00558240,005cc470,00636ac8,00771a0c,00773920,007f09e4,007f0a30
00402a40	sub_00402a40	boot	unknown	re/analysis/promote_c2_boot_lowrva/0x00402a40.md	004014b0,004015a0,00402750,00403660,0040bd00,0040cf80,0040cfd0,004114c0,004189e0,004196f0,0041a3d0,0041b660,0041c0e0,0041c2c0,0041ccf0,0041d890,0041da80,0041de70,0041e0d0,0041ffb0,004210f0,00421590,00425ed0,00426ba0,00426c00,00427620,00428400,0042c2a0,0045b350,0045b930,00467010,00467020,00467070,004671a0,00484130,00484170,00489250,00493f70,00494460,00494bc0,00496970,00496ce0,004b4880,004b6700,004c5930,004ce2d0,004d8560,005581f0,00558240,00636ac8,00636b70,00636b78,0067f18c,0067f190,007f09e4,007f0a30
00492290	sub_00492290	boot	unknown	re/analysis/boot_app_init/00492290.md	004926c0,00492770,004929d0,00492d20,00492d30,00492e90,00493480,00499690
00493900	sub_00493900	boot	unknown	re/analysis/promote_c2_launch_handshake/00493900.md	00499730,004a2be9,004a3ac9,006147bc,006147c0,00616038,007719e0,007719e4,007719e8
00499ba0	sub_00499ba0	boot	unknown	re/analysis/boot_app_init/00499ba0.md	00498bc0,00498bd0,00499820,00499890,00773818,007e9580,007e9584
00499cc0	sub_00499cc0	boot	unknown	re/analysis/boot_app_init/00499cc0.md	007e9584,007e95a8
004a467e	_calloc	boot	unknown	re/analysis/boot_crt_exit/0x004a467e.md	004a4728,004a4737,004a5984,004a59bf,004a787f,004aac76,004aaf72,004aaf90,00773c34
