rva	sub	name	size	n_callees	conv	nargs	ret	arg_type_today	runnable_today	sig_conf	fp	imports	com_d3d	rw_orch	rw_frac	twin	derefs_arg	reads_global	n_globals	cyclic
004b6b00	render	FUN_004b6b00	3	0	fastcall/thiscall	0	void	-	0	low	0	-	0	0	0.0	-	1	0	0	0
0041e8d0	gameplay	FUN_0041e8d0	9	0	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	1	1	0
0041e8e0	gameplay	FUN_0041e8e0	9	0	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	1	1	0
0041e900	gameplay	FUN_0041e900	9	0	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	1	1	0
0041e910	gameplay	FUN_0041e910	9	0	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	1	1	0
0041e920	gameplay	FUN_0041e920	9	0	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	1	1	0
0041e930	gameplay	FUN_0041e930	9	0	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	1	1	0
0041e940	gameplay	FUN_0041e940	9	0	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	1	1	0
0041e950	gameplay	FUN_0041e950	9	0	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	1	1	0
0041e960	ai	FUN_0041e960	9	0	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	1	1	0
0049c6d0	particle	FUN_0049c6d0	10	0	fastcall/thiscall	0	int	-	0	low	0	Win32	0	0	0.0	-	1	0	1	0
00489240	sky	SkySecondaryDispatch	11	0	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	1	1	0
005aea50	audio	FUN_005aea50	11	0	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	1	1	0
004522d0	audio	FUN_004522d0	12	0	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	1	1	0
00454c00	render	FUN_00454c00	12	0	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005aea00	audio	FUN_005aea00	12	0	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	1	1	0
0042f020	frontend	FUN_0042f020	15	0	fastcall/thiscall	0	void	-	0	low	0	-	0	0	0.0	flag	1	0	0	0
00431b20	audio	FUN_00431b20	15	0	cdecl	0	float	-	0	low	1	-	0	0	0.0	-	0	1	2	0
00431b50	util	FUN_00431b50	15	0	cdecl	0	float	-	0	low	1	-	0	0	0.0	-	0	1	2	0
00431b60	util	FUN_00431b60	15	0	cdecl	0	float	-	0	low	1	-	0	0	0.0	-	0	1	2	0
00462520	audio	FUN_00462520	17	1	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	0	0	0
0040ab40	util	FUN_0040ab40	18	0	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	1	1	0
0040ac80	util	FUN_0040ac80	18	0	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	1	1	0
0040acd0	frontend	FUN_0040acd0	18	0	cdecl	0	int	-	0	low	0	-	0	0	0.0	ambiguous	1	1	1	0
004274e0	frontend	FUN_004274e0	18	0	cdecl	0	int	-	0	low	0	-	0	0	0.0	ambiguous	1	1	1	0
00429240	frontend	FUN_00429240	18	0	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	1	1	0
004219a0	ai	FUN_004219a0	19	1	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
00478cd0	render	FUN_00478cd0	19	1	cdecl	1	void	-	0	low	0	-	0	0	0.0	-	1	0	0	0
0049f210	particle	FUN_0049f210	19	0	fastcall/thiscall	0	int	-	0	low	0	-	0	0	0.0	-	1	0	1	0
0040d020	track	FUN_0040d020	21	1	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
00456ce0	gameplay	FUN_00456ce0	21	0	cdecl	0	void	-	0	low	0	-	0	0	0.0	-	1	1	0	0
00423670	ai	FUN_00423670	22	0	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	1	1	0
00471430	gameplay	FUN_00471430	22	0	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	1	2	0
00556ca0	hud	FUN_00556ca0	22	0	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
0049d0a0	particle	FUN_0049d0a0	23	0	fastcall/thiscall	2	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
0041e1c0	gameplay	FUN_0041e1c0	24	1	cdecl	1	float	-	0	low	1	-	0	0	0.0	-	0	0	1	0
004921b0	render	FUN_004921b0	25	0	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	1	2	0
00419a00	gameplay	FUN_00419a00	26	0	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
00476860	render	FUN_00476860	26	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	0	0	0	0
0049c770	particle	FUN_0049c770	26	1	cdecl	0	int	-	0	low	0	-	0	0	1.0	-	1	1	0	0
0047cde0	gameplay	FUN_0047cde0	27	0	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	1	1	0
00456d00	gameplay	FUN_00456d00	28	1	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
0045bac0	powerups	PowerupSlotDeactivate	28	0	cdecl	0	int	-	0	low	0	-	0	0	0.0	ambiguous	1	0	0	0
0049c750	particle	FUN_0049c750	28	1	cdecl	0	int	-	0	low	0	-	0	0	1.0	-	1	0	0	0
00550c30	util	RtFSHandler::GetFileSlot	28	0	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005b3b60	audio	FUN_005b3b60	28	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	ok-asc	0	0	0	0
005bcd80	audio	FUN_005bcd80	28	1	cdecl	1	void	-	0	low	0	-	0	0	0.0	-	1	0	0	0
0049ceb0	particle	FUN_0049ceb0	29	1	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	1	0	0
005b1140	audio	FUN_005b1140	29	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	ok-asc	0	0	0	0
005b1160	audio	FUN_005b1160	29	0	cdecl	3	int	-	0	low	0	-	0	0	0.0	ok-asc	1	0	0	0
00476880	util	FUN_00476880	31	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	0	0	0	0
004768a0	render	FUN_004768a0	31	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	0	0	0	0
004929d0	util	FUN_004929d0	31	1	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	1	1	0
004b7fd0	render	FUN_004b7fd0	31	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
004b8080	render	FUN_004b8080	31	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
004d5550	render	FUN_004d5550	31	0	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	1	1	1	0
005a9f10	audio	FUN_005a9f10	31	1	cdecl	2	int	-	0	low	0	-	0	0	0.0	ambiguous	1	0	0	0
0040dbd0	util	FUN_0040dbd0	32	2	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bfa20	audio	FUN_005bfa20	32	0	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
00409790	gameplay	FUN_00409790	33	1	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	0	1	0
00458fd0	gameplay	FUN_00458fd0	33	2	cdecl	3	int	-	0	low	0	-	0	0	0.0	flag	0	0	0	0
004b9600	input	FUN_004b9600	33	1	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	0	1	0
004cc7f0	render	FUN_004cc7f0	33	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	0	0	0	0
004d1020	render	FUN_004d1020	33	0	fastcall/thiscall	0	int	-	0	low	0	-	0	0	0.0	-	1	1	1	0
005a8e70	audio	FUN_005a8e70	33	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	ok-asc	0	0	1	0
005b1110	audio	FUN_005b1110	33	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	ok-asc	0	0	0	0
005a61b0	audio	FUN_005a61b0	34	0	fastcall/thiscall	1	int	-	0	low	0	-	0	0	0.0	ok-asc	1	0	0	0
005a6dc0	audio	FUN_005a6dc0	34	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	ok-asc	0	0	0	0
005adf60	audio	FUN_005adf60	34	0	cdecl	2	int	-	0	low	0	-	0	0	0.0	ok-asc	1	1	1	0
